"Date","REGN.Open","REGN.High","REGN.Low","REGN.Close","REGN.Volume","REGN.Adjusted"
"2019-08-13",298.130004882812,307.670013427734,296.940002441406,304.859985351562,610800,302.362670898438
"2019-08-14",301.829986572266,304.299987792969,292.420013427734,293.529998779297,676400,291.125457763672
"2019-08-15",295.369995117188,296.910003662109,290.470001220703,293.109985351562,564000,290.708892822266
"2019-08-16",295.320007324219,297.350006103516,290.720001220703,296.850006103516,730200,294.418304443359
"2019-08-19",299.339996337891,300.820007324219,296.799987792969,298.380004882812,781200,295.935760498047
"2019-08-20",299.209991455078,301,294.989990234375,296.029998779297,571500,293.605041503906
"2019-08-21",297.980010986328,300.510009765625,295.019989013672,297.779998779297,451700,295.340698242188
"2019-08-22",297.5,298.950012207031,291.609985351562,295.019989013672,441400,292.603240966797
"2019-08-23",293.959991455078,296.260009765625,285.549987792969,286.850006103516,815800,284.500213623047
"2019-08-26",288.239990234375,290.369995117188,283.489990234375,284.730010986328,527500,282.397613525391
"2019-08-27",285.869995117188,291.140014648438,281.109985351562,281.410003662109,801500,279.104797363281
"2019-08-28",280.040008544922,290.290008544922,279.390014648438,287.640014648438,713600,285.283721923828
"2019-08-29",289.790008544922,292.700012207031,287.089996337891,290.570007324219,509300,288.189758300781
"2019-08-30",292.019989013672,293.459991455078,287.25,290.049987792969,604500,287.673980712891
"2019-09-03",289.200012207031,290.390014648438,281.25,285.119995117188,566000,282.784362792969
"2019-09-04",288.209991455078,288.989990234375,282.309997558594,286.5,628600,284.153076171875
"2019-09-05",287.940002441406,293.640014648438,287.940002441406,289.369995117188,494100,286.999542236328
"2019-09-06",290.450012207031,293.200012207031,287.670013427734,292,570100,289.608001708984
"2019-09-09",291.529998779297,291.929992675781,278.720001220703,279,927500,276.714477539062
"2019-09-10",279.029998779297,285.049987792969,271.570007324219,283.720001220703,1159800,281.395843505859
"2019-09-11",284,287.480010986328,282.549987792969,283.329986572266,517600,281.009033203125
"2019-09-12",284.640014648438,288.880004882812,281.010009765625,284.179992675781,539800,281.852081298828
"2019-09-13",283.839996337891,287,279.470001220703,281.619995117188,617100,279.313018798828
"2019-09-16",280.5,287.279998779297,280.5,285.890014648438,476100,283.548095703125
"2019-09-17",284.769989013672,288.890014648438,283.649993896484,288.119995117188,604700,285.759796142578
"2019-09-18",288.549987792969,288.549987792969,281.399993896484,285.059997558594,548800,282.724853515625
"2019-09-19",284.660003662109,287.950012207031,284.660003662109,286.149993896484,404900,283.805938720703
"2019-09-20",288.75,297.640014648438,286.679992675781,295.869995117188,1661800,293.446319580078
"2019-09-23",297.359985351562,299.980010986328,293.029998779297,294.700012207031,649400,292.285949707031
"2019-09-24",295.019989013672,296,287.619995117188,289.709991455078,642300,287.336761474609
"2019-09-25",290.209991455078,291.899993896484,286.329986572266,286.649993896484,468800,284.301849365234
"2019-09-26",287.700012207031,287.700012207031,277.859985351562,281.309997558594,855900,279.005584716797
"2019-09-27",280.450012207031,282.809997558594,271.369995117188,273.459991455078,770400,271.219909667969
"2019-09-30",275.299987792969,280.049987792969,272.019989013672,277.399993896484,515100,275.127593994141
"2019-10-01",277.269989013672,279.410003662109,273.399993896484,276.470001220703,589600,274.205230712891
"2019-10-02",275.309997558594,277.859985351562,272.260009765625,274.130004882812,572100,271.884429931641
"2019-10-03",274.350006103516,281.700012207031,272.269989013672,280.720001220703,632000,278.42041015625
"2019-10-04",281.660003662109,284.040008544922,278,282.929992675781,511900,280.6123046875
"2019-10-07",280.660003662109,287.769989013672,280.660003662109,283.809997558594,422700,281.485107421875
"2019-10-08",280.510009765625,288.630004882812,279.220001220703,285.100006103516,984000,282.764526367188
"2019-10-09",286.820007324219,292.25,286.089996337891,290.829986572266,980600,288.447570800781
"2019-10-10",289.380004882812,299.950012207031,288.980010986328,298.359985351562,960600,295.915893554688
"2019-10-11",300.109985351562,306.420013427734,298.899993896484,300.769989013672,1074600,298.30615234375
"2019-10-14",299.399993896484,310.149993896484,298.600006103516,305.440002441406,840700,302.937927246094
"2019-10-15",305.350006103516,306.959991455078,303,303.820007324219,731900,301.331207275391
"2019-10-16",302.260009765625,303.390014648438,298.279998779297,299.399993896484,827000,296.947387695312
"2019-10-17",301.209991455078,302.709991455078,299.940002441406,301.570007324219,445700,299.099578857422
"2019-10-18",303.510009765625,303.510009765625,298.700012207031,300.190002441406,530000,297.73095703125
"2019-10-21",301.970001220703,301.970001220703,294.859985351562,297.989990234375,496800,295.548919677734
"2019-10-22",305,306.929992675781,301.200012207031,301.309997558594,723200,298.841766357422
"2019-10-23",301.859985351562,307.070007324219,299.470001220703,305.019989013672,589300,302.521331787109
"2019-10-24",303.75,306.089996337891,299.220001220703,305.769989013672,565800,303.265167236328
"2019-10-25",305.279998779297,308.010009765625,301.790008544922,306.209991455078,412800,303.701599121094
"2019-10-28",305.619995117188,310.529998779297,303.220001220703,308.559997558594,384800,306.032348632812
"2019-10-29",310,313.390014648438,308.589996337891,310.459991455078,387600,307.916778564453
"2019-10-30",310.100006103516,311.790008544922,306.119995117188,311,604400,308.452362060547
"2019-10-31",310.619995117188,311.380004882812,303.489990234375,306.279998779297,741100,303.77099609375
"2019-11-01",309,313.160003662109,307.440002441406,310.480010986328,829800,307.936645507812
"2019-11-04",313.049987792969,315.940002441406,310.739990234375,311.040008544922,632800,308.492034912109
"2019-11-05",323.359985351562,344.100006103516,322.109985351562,332.600006103516,2345700,329.875427246094
"2019-11-06",331.369995117188,333.279998779297,324.269989013672,324.489990234375,1017700,321.831848144531
"2019-11-07",329.179992675781,333.720001220703,325.619995117188,326.390014648438,952300,323.71630859375
