"Date","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"2020-08-11",68.1600036621094,70.9899978637695,66.8300018310547,67.1500015258789,13635300,48.6470146179199
"2020-08-12",67.8000030517578,68.9400024414062,65.620002746582,67.8300018310547,6873000,49.1396408081055
"2020-08-13",67.1699981689453,68.25,65.7300033569336,66.0199966430664,5499400,47.8283805847168
"2020-08-14",65.379997253418,68.4499969482422,65.1699981689453,68.1800003051758,5334300,49.393196105957
"2020-08-17",68.3499984741211,68.3899993896484,66.1800003051758,68.1800003051758,4441600,49.393196105957
"2020-08-18",67.370002746582,67.5,63.8800010681152,65.129997253418,8189200,47.1836090087891
"2020-08-19",65.120002746582,65.6399993896484,63.7400016784668,63.8800010681152,4962300,46.2780532836914
"2020-08-20",63.3300018310547,65.4499969482422,62.9000015258789,64.870002746582,4220400,46.9952583312988
"2020-08-21",64.8000030517578,65.5400009155273,63.9000015258789,64.5199966430664,3014100,46.74169921875
"2020-08-24",65.0500030517578,68.5199966430664,63.8600006103516,68.5,5515800,49.6250114440918
"2020-08-25",69.3600006103516,70.1399993896484,66.5199966430664,68.6500015258789,5053500,49.7336921691895
"2020-08-26",68.4800033569336,68.6100006103516,65.75,66.3099975585938,4363500,48.0384712219238
"2020-08-27",66.620002746582,69.0999984741211,66.620002746582,67.5699996948242,4207400,48.9512786865234
"2020-08-28",68.0999984741211,69.9000015258789,66.9499969482422,69.8399963378906,3676900,50.5957717895508
"2020-08-31",69.8099975585938,69.8300018310547,67.4400024414062,67.8499984741211,4089900,49.1541290283203
"2020-09-01",66.6500015258789,67.879997253418,65.9000015258789,67.1999969482422,3485200,48.683219909668
"2020-09-02",66.6399993896484,68.0299987792969,65.9599990844727,67.8399963378906,3595200,49.1468772888184
"2020-09-03",68.5,70.9800033569336,66.870002746582,68,5310100,49.2627983093262
"2020-09-04",69.5,72.4800033569336,68.8399963378906,70.2399978637695,6858400,50.885555267334
"2020-09-08",69.4599990844727,70.75,68.7900009155273,70.0500030517578,3899300,50.7479209899902
"2020-09-09",69.9400024414062,70.1699981689453,67.9599990844727,68.8600006103516,4332700,49.8858108520508
"2020-09-10",68.5899963378906,69.8300018310547,66,66.1900024414062,4586200,47.951530456543
"2020-09-11",66.4400024414062,66.4599990844727,63.3800010681152,64.1500015258789,5096600,46.4736442565918
"2020-09-14",65,67.9300003051758,64.5299987792969,67.8000030517578,3529100,49.1178970336914
"2020-09-15",68.0299987792969,71.8300018310547,67.6900024414062,71.0699996948242,6836300,51.4868583679199
"2020-09-16",71.0299987792969,75.1999969482422,70.0400009155273,74.120002746582,8906800,53.6964340209961
"2020-09-17",71.4700012207031,74.2399978637695,70.879997253418,71.879997253418,4973200,52.0736694335938
"2020-09-18",71.4400024414062,71.9000015258789,69.5899963378906,69.8300018310547,5821500,50.5885429382324
"2020-09-21",67.0699996948242,67.2200012207031,64.3499984741211,64.870002746582,7010300,46.9952583312988
"2020-09-22",65.0199966430664,67.0699996948242,64.75,65.1100006103516,6154600,47.1691207885742
"2020-09-23",65.5800018310547,66.8000030517578,62.7200012207031,62.8899993896484,4440600,45.5608406066895
"2020-09-24",62.0499992370605,64.1600036621094,59.5999984741211,62.8300018310547,5337500,45.5173721313477
"2020-09-25",62,63.9300003051758,62,63.5800018310547,2601500,46.0607032775879
"2020-09-28",65.8000030517578,66.5400009155273,64.8000030517578,65.7900009155273,3771800,47.661750793457
"2020-09-29",65.3300018310547,65.3399963378906,62.9000015258789,63.9900016784668,3816800,46.3577423095703
"2020-09-30",64.1500015258789,66.120002746582,63.7000007629395,64.6800003051758,4188200,46.8576011657715
"2020-10-01",64.8399963378906,66.5599975585938,64.25,66.5299987792969,3426200,48.1978569030762
"2020-10-02",64.129997253418,68.5,64.0500030517578,68.1999969482422,5346800,49.4076766967773
"2020-10-05",68.7099990844727,69.3300018310547,67.4199981689453,68.7600021362305,3688200,49.8133850097656
"2020-10-06",69.75,72.629997253418,69.0100021362305,69.9800033569336,6512200,50.6972045898438
"2020-10-07",70.3199996948242,72.1600036621094,69.8000030517578,71.0299987792969,4167200,51.4578895568848
"2020-10-08",70.8300018310547,71.2300033569336,69.4000015258789,70.0699996948242,3721700,51.7087898254395
"2020-10-09",70.1399993896484,70.3499984741211,67.5100021362305,67.7200012207031,3825400,49.9745903015137
"2020-10-12",67.6399993896484,68.1100006103516,66.6999969482422,68.0199966430664,3040800,50.1959686279297
"2020-10-13",66.9700012207031,67.3300018310547,65.4700012207031,65.8199996948242,3705400,48.5724754333496
"2020-10-14",65.8899993896484,66.5400009155273,65.2600021362305,65.7200012207031,2766800,48.4986763000488
"2020-10-15",64.7099990844727,66.5199966430664,64.5899963378906,65.120002746582,2900600,48.0558853149414
"2020-10-16",65.5299987792969,65.6999969482422,64.1500015258789,64.8199996948242,3939100,47.8345069885254
"2020-10-19",65,65.3499984741211,63.8400001525879,63.9099998474121,3587400,47.1629638671875
"2020-10-20",64.8899993896484,66.0800018310547,64.4300003051758,64.4599990844727,2902200,47.5688362121582
"2020-10-21",64.120002746582,65.0100021362305,63.3400001525879,64.2099990844727,3137900,47.3843612670898
"2020-10-22",64.0100021362305,66.5400009155273,63.9000015258789,66.3499984741211,2901400,48.9635810852051
"2020-10-23",66.75,67.8000030517578,65.9199981689453,66.879997253418,3194500,49.3546981811523
"2020-10-26",66.0100021362305,66.0999984741211,63.8699989318848,64.6800003051758,3852700,47.7311820983887
"2020-10-27",64.1100006103516,64.5800018310547,61.9500007629395,61.9799995422363,3795000,45.7387084960938
"2020-10-28",60.2700004577637,61.6300010681152,59.3499984741211,60.7599983215332,6595600,44.8383903503418
"2020-10-29",60.689998626709,64.1100006103516,60.1699981689453,63.4099998474121,5851500,46.7939872741699
"2020-10-30",62.9799995422363,63.6199989318848,60.8300018310547,62.810001373291,3704500,46.3512191772461
"2020-11-02",62.9599990844727,64.879997253418,62.5900001525879,64.7099990844727,3666000,47.7533187866211
"2020-11-03",65.5999984741211,66,64.4000015258789,64.9899978637695,3552600,47.9599571228027
"2020-11-04",64.9000015258789,64.9100036621094,62.1199989318848,62.2799987792969,4431700,45.9600944519043
"2020-11-05",62.9300003051758,64.0999984741211,62.4599990844727,63.4700012207031,3283400,46.838264465332
"2020-11-06",63.5,64.8300018310547,61.6399993896484,61.8600006103516,4872900,45.6501502990723
"2020-11-09",74.870002746582,82.5,73.0999984741211,79.0999984741211,24996200,58.37255859375
"2020-11-10",76.6999969482422,84.4899978637695,75.3099975585938,78.8399963378906,14440400,58.1806793212891
"2020-11-11",77.9800033569336,78.5,72.5199966430664,73.4100036621094,6844600,54.1735916137695
"2020-11-12",71.6600036621094,72.629997253418,68.0100021362305,69.1399993896484,8143000,51.0224876403809
"2020-11-13",71.629997253418,75.1500015258789,70.8000030517578,74.6999969482422,7732900,55.1255378723145
"2020-11-16",79.9499969482422,82.4199981689453,78.8499984741211,78.9599990844727,13224900,58.2692451477051
"2020-11-17",77.9499969482422,81.3300018310547,76.9800033569336,78.9599990844727,6171800,58.2692451477051
"2020-11-18",77.870002746582,81.0400009155273,76.5999984741211,76.6100006103516,7493300,56.535041809082
"2020-11-19",75.9899978637695,81.3300018310547,75.4899978637695,80.629997253418,16282200,59.5016403198242
"2020-11-20",80.4800033569336,81.7900009155273,79.2600021362305,81.120002746582,9733700,59.8632392883301
"2020-11-23",84.75,86.3000030517578,82.3000030517578,85.4100036621094,10874800,63.0291023254395
"2020-11-24",88.7399978637695,91.370002746582,88.4199981689453,88.7900009155273,9742200,65.5233917236328
"2020-11-25",88.4100036621094,88.879997253418,86.3000030517578,87.1900024414062,5973300,64.342643737793
"2020-11-27",87.9599990844727,88.5999984741211,85.5299987792969,85.5500030517578,2305900,63.1324043273926
"2020-11-30",85.3199996948242,86.9000015258789,82.4000015258789,82.5699996948242,6987300,60.9332733154297
"2020-12-01",84.6500015258789,86.2900009155273,83.8899993896484,84.9899978637695,4869700,62.7191429138184
"2020-12-02",83.7300033569336,87.9899978637695,82.5999984741211,87.25,4333200,64.3869171142578
"2020-12-03",87.8899993896484,91.6999969482422,87.2900009155273,89.629997253418,5490000,66.1432571411133
"2020-12-04",92.2399978637695,94.3600006103516,90.7099990844727,93.9100036621094,5268500,69.3017272949219
"2020-12-07",93.6999969482422,93.8000030517578,89,89.370002746582,6097000,65.9514007568359
"2020-12-08",89.7300033569336,91.9499969482422,88.5,90.1100006103516,4603100,66.4974899291992
"2020-12-09",90.620002746582,92.1600036621094,89.1900024414062,90.8399963378906,4596400,67.0361862182617
"2020-12-10",89.120002746582,90.9599990844727,89.0800018310547,90.4400024414062,3046000,66.7410278320312
"2020-12-11",89.2099990844727,89.9300003051758,86.2900009155273,87.9000015258789,4907600,64.8666152954102
"2020-12-14",90,90.1800003051758,86.7600021362305,87.3199996948242,4841400,64.438591003418
"2020-12-15",88.4400024414062,89.7600021362305,87.2200012207031,89.7399978637695,5295100,66.2244415283203
"2020-12-16",88.3399963378906,90.3000030517578,88.129997253418,88.2799987792969,3371600,65.1470336914062
"2020-12-17",89.1900024414062,89.2300033569336,87.4899978637695,89.0299987792969,3002000,65.7004928588867
"2020-12-18",88.7399978637695,89.0699996948242,84.9199981689453,85.4300003051758,6377100,63.0438690185547
"2020-12-21",83.9499969482422,84.5,82.25,83.6500015258789,4629100,61.7302856445312
"2020-12-22",85.5,85.5599975585938,82.0199966430664,83.7200012207031,4139900,61.7819366455078
"2020-12-23",83.3399963378906,85.25,83.2099990844727,83.6500015258789,2768600,62.7039222717285
"2020-12-24",84,84.5899963378906,83.0500030517578,84.370002746582,810700,63.24365234375
"2020-12-28",84.5299987792969,86.1500015258789,84.5100021362305,85.4800033569336,3105000,64.0757141113281
"2020-12-29",85.7900009155273,86.5699996948242,82.9400024414062,83.2900009155273,2281200,62.4340744018555
"2020-12-30",83.2099990844727,85.5500030517578,83.2099990844727,83.9700012207031,2791400,62.9438209533691
"2020-12-31",83.5199966430664,85.3499984741211,82.3600006103516,85.2799987792969,2488300,63.92578125
"2021-01-04",85.6600036621094,86.2399978637695,82.0599975585938,82.8099975585938,4299400,62.0742721557617
"2021-01-05",83.1500015258789,84.3199996948242,82.9300003051758,83.1699981689453,4647900,62.3441314697266
"2021-01-06",84,86.4800033569336,83.75,85.0699996948242,8356300,63.7683639526367
